-;package_id;name;url;format;description
;trafikkstasjoner;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/638.json?inkluder=%22alle%22;JSON;
;trafikkulykker;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/570?inkluder=%22alle%22;XML;
;trafikkulykker;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/570.json?inkluder=%22alle%22;JSON;
;tunneler;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/581?inkluder=%22alle%22;XML;
;tunneler;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/581.json?inkluder=%22alle%22;JSON;
;vilttiltak;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/498?inkluder=%22alle%22;XML;
;vilttiltak;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/498.json?inkluder=%22alle%22;JSON;
;norsk-vegmuseum;Åpne data via Norvegiana API;http://data.norge.no/data/norvegiana-api;XML;
;norsk-vegmuseum;Åpne data via Norvegiana API;http://data.norge.no/data/norvegiana-api;JSON;
;norsk-vegmuseum;Åpne data via Norvegiana API;http://data.norge.no/data/norvegiana-api;KML;
;ruteplandata-bil;Åpne data;http://data.norge.no/data/statens-vegvesen/api-ruteplantjeneste-bil;XML;
;ruteplandata-bil;Åpne data;http://data.norge.no/data/statens-vegvesen/api-ruteplantjeneste-bil;JSON;
;bomstasjoner;Bomstasjoner på Difis datahotell;http://data.norge.no/data/statens-vegvesen/bomstasjoner-i-norge;Masse formater!;Her bør vi lage flere oppføringer, en for hvert format!
;nasjonal-vegdatabank;NVDB api for komplekse spørringer;http://data.norge.no/data/statens-vegvesen/visveginfo-komplekse-sp%C3%B8rringer-p%C3%A5-vegnett;XML;
;vegmeldinger;Åpne data fra Difis datahotell (skal utfases, bruk DATEX-tjenesten i stedet);http://data.norge.no/data/trafikkmeldinger;XML;
;luftkvalitet;Database over måledata via luftkvalitet.info;http://luftkvalitet.info/omnettstedet.aspx;ukjent;
;test;En test-ressurs;http://vegvesen.no;CSV;Dette er en beskrivelse av en test-ressurs
;test;Nok en test-ressurs;http://vegvesen.no;PDF;Dette er en beskrivelse av nok en test-ressurs
;statistikk-sentralbyra;Åpne data via SSB sitt API;http://www.ssb.no/omssb/tjenester-og-verktoy/api;JSON;
;nasjonal-verneplan;Samleside for nasjonal verneplan i PDF på vegvesen.no;http://www.vegvesen.no/fag/Fokusomrader/Miljo+og+omgivelser/Nasjonal+verneplan/nasjonal-verneplan;PDF;
;stoykartlegging;Samleside med kart i PDF på vegvesen.no;http://www.vegvesen.no/fag/Fokusomrader/Miljo+og+omgivelser/Stoy/Stoykart/st%C3%B8ykartlegging--55588;PDF;
;trafikkulykker;Ulykkesstatistikk på vegvesen.no;http://www.vegvesen.no/fag/Fokusomrader/Trafikksikkerhet/Ulykkesdata/ulykkesstatistikk-2014;PDF;
;kjoretoyopplysninger;Kjøretøystatistikk på vegvesen.no;http://www.vegvesen.no/fag/Trafikk/Kjoretoystatistikk/kj%C3%B8ret%C3%B8ystatistikk;PDF;
;trafikk-statistikk;Samleside for statistikk på vegvesen.no, ;http://www.vegvesen.no/fag/Trafikk/Trafikkdata/trafikkdata;PDF;
;trafikk-statistikk;Samleside for statistikk på vegvesen.no, ;http://www.vegvesen.no/fag/Trafikk/Trafikkdata/trafikkdata;XLS;
;trafikk-statistikk;Samleside for statistikk på vegvesen.no, ;http://www.vegvesen.no/fag/Trafikk/Trafikkdata/trafikkdata;ODS;
;driftskontrakter;Samleside for statistikk i PDF på vegvesen.no;http://www.vegvesen.no/fag/Veg+og+gate/Drift+og+vedlikehold/Driftskontrakter/driftskontrakter;PDF;
;godkjente-verksteder;"Tjenesten ""Finn godkjent verksted"" på vegvesen.no";http://www.vegvesen.no/kjoretoy/Eie%20og%20vedlikeholde/finn-godkjent-verksted;CSV;
;kjoretoyopplysninger;Tjeneste for understellsregisteret via vegvesen.no;http://www.vegvesen.no/kjoretoy/Kjop+og+salg/Kj%C3%B8ret%C3%B8yopplysninger/Understellsregistret/understellsregisteret-for-eldre-kj%C3%B8ret%C3%B8y;HTML;
;kjoretoyopplysninger;Bestilling av kjøretøyopplysninger via vegvesen.no;http://www.vegvesen.no/kjoretoy/Kjop+og+salg/Kj%C3%B8ret%C3%B8yopplysninger/Utlevering+av+kj%C3%B8ret%C3%B8yopplysninger/utlevering-av-kj%C3%B8ret%C3%B8yopplysninger;HTML;
;arsrapporter-nokkeltall;Samleside for statistikk i PDF på vegvesen.no;http://www.vegvesen.no/om+statens+vegvesen/om+organisasjonen/Arsrapporter/nokkeltall/n%C3%B8kkeltall-statens-vegvesen;PDF;
;vardata;Sanntidsdata tilgjengelig via DATEX-tjenesten;http://www.vegvesen.no/Om+Statens+vegvesen/Om+organisasjonen/For+utviklere+API/Datex;HTML;
;trafikkinformasjon;Åpne data på vegvesen.no;http://www.vegvesen.no/Om+Statens+vegvesen/Om+organisasjonen/For+utviklere+API/Datex;XML;
;trafikkskilt;Trafikkskilt i eps- og jpgfiler på vegvesen.no;http://www.vegvesen.no/trafikkinformasjon/Lover+og+regler/Trafikkskilt/trafikkskilt;EPS;
;trafikkskilt;Trafikkskilt i eps- og jpgfiler på vegvesen.no;http://www.vegvesen.no/trafikkinformasjon/Lover+og+regler/Trafikkskilt/trafikkskilt;JPG;
;bruer;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/60?inkluder=%22alle%22;JSON;
;bruer;Åpne data via NVDB api;https://www.vegvesen.no/nvdb/api/v2/vegobjekter/60.json?inkluder=%22alle%22;XML;
